seed,width,batches,policy,capacity_records,events,max_live_records,queries,correct,all_correct,anchor_correct,peak_records,peak_serialized_payload_bytes,checkpoints
2,2,64,lru_value_records,4,324,2,65,64,False,False,4,137,0
2,2,64,release_on_retire,4,324,2,65,65,True,True,2,66,0
2,2,64,lru_value_records,1,388,2,65,63,False,False,1,35,64
2,2,64,release_on_retire,1,388,2,65,63,False,False,1,35,64
2,2,64,lru_value_records,2,388,2,65,64,False,False,2,69,64
2,2,64,release_on_retire,2,388,2,65,65,True,True,2,66,64
2,2,64,lru_value_records,4,388,2,65,64,False,False,4,137,64
2,2,64,release_on_retire,4,388,2,65,65,True,True,2,66,64
2,2,64,lru_value_records,1,644,2,65,63,False,False,1,35,320
2,2,64,release_on_retire,1,644,2,65,63,False,False,1,35,320
2,2,64,lru_value_records,2,644,2,65,64,False,False,2,69,320
2,2,64,release_on_retire,2,644,2,65,65,True,True,2,66,320
2,2,64,lru_value_records,4,644,2,65,64,False,False,4,137,320
2,2,64,release_on_retire,4,644,2,65,65,True,True,2,66,320
2,4,4,lru_value_records,3,48,4,13,11,False,False,3,100,0
2,4,4,release_on_retire,3,48,4,13,11,False,False,3,100,0
2,4,4,lru_value_records,4,48,4,13,12,False,False,4,133,0
2,4,4,release_on_retire,4,48,4,13,13,True,True,4,131,0
2,4,4,lru_value_records,8,48,4,13,12,False,False,8,261,0
2,4,4,release_on_retire,8,48,4,13,13,True,True,4,131,0
2,4,4,lru_value_records,3,52,4,13,11,False,False,3,100,4
2,4,4,release_on_retire,3,52,4,13,11,False,False,3,100,4
2,4,4,lru_value_records,4,52,4,13,12,False,False,4,133,4
2,4,4,release_on_retire,4,52,4,13,13,True,True,4,131,4
2,4,4,lru_value_records,8,52,4,13,12,False,False,8,261,4
2,4,4,release_on_retire,8,52,4,13,13,True,True,4,131,4
2,4,4,lru_value_records,3,68,4,13,11,False,False,3,100,20
2,4,4,release_on_retire,3,68,4,13,11,False,False,3,100,20
2,4,4,lru_value_records,4,68,4,13,12,False,False,4,133,20
2,4,4,release_on_retire,4,68,4,13,13,True,True,4,131,20
2,4,4,lru_value_records,8,68,4,13,12,False,False,8,261,20
